"","landCoverCode","year","sqKm","landCoverCategory","landCoverNameSp","landCoverName"
"150",27,2005,26.9263906336395,"Grassland","Sabana de pajon","Sabana de pajon"
"151",33,2005,5.52999587622754,"Wetland","Eneal","Cattail marsh"
"152",35,2005,99.6361463066428,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas"
"153",37,2005,729.749749396243,"Cultivated","Cultivos intensivos","Cultivated land"
"154",38,2005,476.125800452335,"Cultivated","Caña","Sugar cane"
"155",39,2005,272.548216839434,"Cultivated","Arroz","Rice"
"156",40,2005,597.758732288716,"Cultivated","Pasto","Pasture"
"157",51,2005,30.035926492453,"Cultivated","Palma Africana","African palm"
"158",52,2005,226.26038865288,"Cultivated","Palma de Coco","Coco Palm"
"159",53,2005,2329.72390005996,"Cultivated","Café y Cacao","Coffee and Cacao"
"160",59,2005,3951.37802689361,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture"
"161",65,2005,17.2796083037979,"Unvegetated","Lagunos o lagos","Lake"
"162",72,2005,12.4584423024225,"Unvegetated","Areas pobladas","Populated areas"
"163",1,2006,1575.65571451292,"Forest","Bosque conifero denso","Dense conifer forest"
"164",2,2006,610.81469228608,"Forest","Bosque conifero abierto","Open conifer forest"
"165",4,2006,932.954659334998,"Forest","Bosque latifoliado nublado","Wet broadleaf forest"
"166",6,2006,2499.78061922484,"Forest","Bosque latifoliado humedo","Moist broadleaf forest"
"167",8,2006,1468.11533830199,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest"
"168",9,2006,2100.54604663918,"Forest","Bosque seco","Dry forest"
"169",12,2006,9.87598907685669,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands"
"170",13,2006,112.06376976897,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands"
"171",14,2006,34.3812641617743,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands"
"172",16,2006,1666.5735413958,"Shrubland","Matorral latifoliado","Broadleaf matorral"
"173",20,2006,953.223902874166,"Shrubland","Matorral seco","Dry matorral"
"174",21,2006,9.33217879261865,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral"
"175",24,2006,3.1815388286936,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands"
"176",26,2006,4.50442382741711,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh"
"177",27,2006,26.8683920995941,"Grassland","Sabana de pajon","Sabana de pajon"
"178",33,2006,5.48070163842297,"Wetland","Eneal","Cattail marsh"
"179",35,2006,99.0930352382417,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas"
"180",37,2006,724.591098017713,"Cultivated","Cultivos intensivos","Cultivated land"
"181",38,2006,473.754894830507,"Cultivated","Caña","Sugar cane"
"182",39,2006,270.737064284676,"Cultivated","Arroz","Rice"
"183",40,2006,592.172139353136,"Cultivated","Pasto","Pasture"
"184",51,2006,29.7363015027905,"Cultivated","Palma Africana","African palm"
"185",52,2006,225.194619985269,"Cultivated","Palma de Coco","Coco Palm"
"186",53,2006,2320.38712708661,"Cultivated","Café y Cacao","Coffee and Cacao"
"187",59,2006,3925.0440861993,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture"
"188",65,2006,17.2537743293222,"Unvegetated","Lagunos o lagos","Lake"
"189",72,2006,12.4005445009354,"Unvegetated","Areas pobladas","Populated areas"
"190",1,2007,1568.74539573286,"Forest","Bosque conifero denso","Dense conifer forest"
"191",2,2007,607.496021733288,"Forest","Bosque conifero abierto","Open conifer forest"
"192",4,2007,930.205057774014,"Forest","Bosque latifoliado nublado","Wet broadleaf forest"
"193",6,2007,2488.31597657913,"Forest","Bosque latifoliado humedo","Moist broadleaf forest"
"194",8,2007,1454.15084886994,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest"
"195",9,2007,2085.60704596088,"Forest","Bosque seco","Dry forest"
"196",12,2007,9.8141280316748,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands"
"197",13,2007,112.000808862529,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands"
"198",14,2007,34.3401581570666,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands"
"199",16,2007,1652.75371199737,"Shrubland","Matorral latifoliado","Broadleaf matorral"
"200",20,2007,947.180529523589,"Shrubland","Matorral seco","Dry matorral"
"201",21,2007,9.32076786967065,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral"
"202",24,2007,3.18048530451025,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands"
"203",26,2007,4.48903246079358,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh"
"204",27,2007,26.8168174073807,"Grassland","Sabana de pajon","Sabana de pajon"
"205",33,2007,5.32727185907727,"Wetland","Eneal","Cattail marsh"
"206",35,2007,98.650954836873,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas"
"207",37,2007,715.163593056097,"Cultivated","Cultivos intensivos","Cultivated land"
"208",38,2007,470.935807561214,"Cultivated","Caña","Sugar cane"
"209",39,2007,268.971302100288,"Cultivated","Arroz","Rice"
"210",40,2007,585.696669846503,"Cultivated","Pasto","Pasture"
"211",51,2007,28.4909148756384,"Cultivated","Palma Africana","African palm"
"212",52,2007,224.035031641813,"Cultivated","Palma de Coco","Coco Palm"
"213",53,2007,2307.5637811717,"Cultivated","Café y Cacao","Coffee and Cacao"
"214",59,2007,3895.99896599987,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture"
"215",65,2007,17.1862239482628,"Unvegetated","Lagunos o lagos","Lake"
"216",72,2007,12.3102843264951,"Unvegetated","Areas pobladas","Populated areas"
"217",1,2008,1559.9710810232,"Forest","Bosque conifero denso","Dense conifer forest"
"218",2,2008,603.715179237388,"Forest","Bosque conifero abierto","Open conifer forest"
"219",4,2008,925.749505016188,"Forest","Bosque latifoliado nublado","Wet broadleaf forest"
"220",6,2008,2470.44981103492,"Forest","Bosque latifoliado humedo","Moist broadleaf forest"
"221",8,2008,1435.26936018921,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest"
"222",9,2008,2065.45258877376,"Forest","Bosque seco","Dry forest"
"223",12,2008,9.71371021244568,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands"
"224",13,2008,111.923572324328,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands"
"225",14,2008,34.2717836059241,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands"
"226",16,2008,1632.06236241432,"Shrubland","Matorral latifoliado","Broadleaf matorral"
"227",20,2008,938.564125941015,"Shrubland","Matorral seco","Dry matorral"
"228",21,2008,9.29315490743555,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral"
"229",24,2008,3.17969094719458,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands"
"230",26,2008,4.46007475027905,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh"
"231",27,2008,26.6198735132975,"Grassland","Sabana de pajon","Sabana de pajon"
"232",33,2008,5.13453259438489,"Wetland","Eneal","Cattail marsh"
"233",35,2008,98.0761573394746,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas"
"234",37,2008,707.842045507983,"Cultivated","Cultivos intensivos","Cultivated land"
"235",38,2008,467.649178282359,"Cultivated","Caña","Sugar cane"
"236",39,2008,266.177373893259,"Cultivated","Arroz","Rice"
