"","landCoverCode","year","sqKm","landCoverCategory","landCoverNameSp","landCoverName","sqKmNoFire"
"83","2",2003,633.086380942686,"Forest","Bosque conifero abierto","Open conifer forest",634.780131634016
"84","4",2003,946.7484840084,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",947.673710580287
"85","6",2003,2543.38760985497,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2543.60690303814
"86","8",2003,1506.92873238291,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1507.01094224943
"87","9",2003,2145.0294577313,"Forest","Bosque seco","Dry forest",2145.5029107902
"88","12",2003,10.0455293027881,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",10.0455293027881
"89","13",2003,112.419024937922,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",112.419024937922
"90","14",2003,34.5174286907074,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",34.5174286907074
"91","16",2003,1711.2708991002,"Shrubland","Matorral latifoliado","Broadleaf matorral",1711.68452899158
"92","20",2003,973.841045844644,"Shrubland","Matorral seco","Dry matorral",973.910046563577
"93","21",2003,9.40101446165613,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.40101446165613
"94","24",2003,3.18567890856177,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.18567890856177
"95","26",2003,4.57283136327649,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.57283136327649
"96","27",2003,27.4579664701034,"Grassland","Sabana de pajon","Sabana de pajon",27.7473387360875
"97","33",2003,5.61289086791577,"Wetland","Eneal","Cattail marsh",5.61289086791577
"98","35",2003,100.73071369083,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",100.751071719456
"99","37",2003,743.727296105434,"Cultivated","Cultivos intensivos","Cultivated land",743.790817787746
"100","38",2003,484.530479696645,"Cultivated","Caña","Sugar cane",484.650956069265
"101","39",2003,278.985286517736,"Cultivated","Arroz","Rice",278.985286517736
"102","40",2003,612.336814597659,"Cultivated","Pasto","Pasture",612.348695714724
"103","51",2003,31.427827945412,"Cultivated","Palma Africana","African palm",31.427827945412
"104","52",2003,230.089949978066,"Cultivated","Palma de Coco","Coco Palm",230.089949978066
"105","53",2003,2358.26205949435,"Cultivated","Café y Cacao","Coffee and Cacao",2358.32899723379
"106","59",2003,4025.2118709781,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",4026.21037546785
"107","65",2003,17.3828218483248,"Unvegetated","Lagunos o lagos","Lake",17.3828218483248
"108","72",2003,12.6317647086652,"Unvegetated","Areas pobladas","Populated areas",12.6317647086652
"109","1",2004,1635.46985388754,"Forest","Bosque conifero denso","Dense conifer forest",1638.43204485486
"110","2",2004,628.97993894548,"Forest","Bosque conifero abierto","Open conifer forest",631.111794429887
"111","4",2004,943.108598388368,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",944.2109317399
"112","6",2004,2527.83556450539,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2528.05825199281
