"","landCoverCode","sqKmLost","year","landCoverName","landCoverNameSp","landCoverCategory","sqKmBurned","sqKmLossNonFire"
"174","21",0.011410922947998,2007,"Brackish wetland matorral","Matorral de humedales salobres","Shrubland",0.00169853442382812,0.00971238852416987
"175","24",0.00105352418334961,2007,"Grassy brackish wetlands","Sabana de humedales salobres","Wetland",0,0.00105352418334961
"176","26",0.0153913666235352,2007,"Grassy freshwater marsh","Sabana humedales de agua aulce","Wetland",0,0.0153913666235352
"177","27",0.0515746922133502,2007,"Sabana de pajon","Sabana de pajon","Grassland",0,0.0515746922133502
"178","33",0.153429779345703,2007,"Cattail marsh","Eneal","Wetland",0,0.153429779345703
"179","35",0.44208040136866,2007,"Unvegetated or eroded areas","Escasa vegetación o area erosionada","Unvegetated",0.00339777105712891,0.438682630311531
"180","37",9.42750496161668,2007,"Cultivated land","Cultivos intensivos","Cultivated",0.00337188262939453,9.42413307898729
"181","38",2.81908726929278,2007,"Sugar cane","Caña","Cultivated",0.124727045959473,2.69436022333331
"182","39",1.7657621843883,2007,"Rice","Arroz","Cultivated",0.00674613842773438,1.75901604596057
"183","40",6.47546950663228,2007,"Pasture","Pasto","Cultivated",0.00169804791259766,6.47377145871968
"184","51",1.2453866271521,2007,"African palm","Palma Africana","Cultivated",0,1.2453866271521
"185","52",1.15958834345581,2007,"Coco Palm","Palma de Coco","Cultivated",0,1.15958834345581
"186","53",12.8233459149127,2007,"Coffee and Cacao","Café y Cacao","Cultivated",0.00762079864501953,12.8157251162677
"187","59",29.0451201994325,2007,"Subsistence agriculture or pasture","Agricultura de Subsistencia y Pasto","Cultivated",0.184664630021159,28.8604555694113
"188","65",0.0675503810593932,2007,"Lake","Lagunos o lagos","Unvegetated",0,0.0675503810593932
"189","72",0.0902601744403076,2007,"Populated areas","Areas pobladas","Unvegetated",0,0.0902601744403076
"190","1",8.77431470966129,2008,"Dense conifer forest","Bosque conifero denso","Forest",0.328683151062012,8.44563155859928
"191","2",3.78084249589956,2008,"Open conifer forest","Bosque conifero abierto","Forest",0.285495958679199,3.49534653722036
"192","4",4.45555275782696,2008,"Wet broadleaf forest","Bosque latifoliado nublado","Forest",0.340928929224351,4.11462382860261
"193","6",17.8661655442097,2008,"Moist broadleaf forest","Bosque latifoliado humedo","Forest",0.174696091003418,17.6914694532063
"194","8",18.8814886807291,2008,"Semi-moist broadleaf forest","Bosque latifoliado semi-humedo","Forest",0.312005805725098,18.569482875004
"195","9",20.1544571871197,2008,"Dry forest","Bosque seco","Forest",0.0653850784912109,20.0890721086285
"196","12",0.100417819229126,2008,"Temporarily flooded forested brackish wetlands","Bosque humedales salobres temporalmente inundado","Wetland",0,0.100417819229126
"197","13",0.0772365382015237,2008,"Permanently flooded forested brackish wetlands","Bosque humedales salobres permanentemente inundado","Wetland",0,0.0772365382015237
"198","14",0.0683745511425781,2008,"Forested freshwater wetlands","Bosque humedales de agua dulce","Wetland",0,0.0683745511425781
"199","16",20.6913495830481,2008,"Broadleaf matorral","Matorral latifoliado","Shrubland",0.0984814335327148,20.5928681495154
"200","20",8.61640358257393,2008,"Dry matorral","Matorral seco","Shrubland",0.0331322509765625,8.58327133159737
"201","21",0.0276129622351074,2008,"Brackish wetland matorral","Matorral de humedales salobres","Shrubland",0,0.0276129622351074
"202","24",0.000794357315673828,2008,"Grassy brackish wetlands","Sabana de humedales salobres","Wetland",0,0.000794357315673828
"203","26",0.0289577105145264,2008,"Grassy freshwater marsh","Sabana humedales de agua aulce","Wetland",0,0.0289577105145264
"204","27",0.196943894083252,2008,"Sabana de pajon","Sabana de pajon","Grassland",0.037268763671875,0.159675130411377
"205","33",0.192739264692383,2008,"Cattail marsh","Eneal","Wetland",0,0.192739264692383
"206","35",0.574797497398455,2008,"Unvegetated or eroded areas","Escasa vegetación o area erosionada","Unvegetated",0.00254059252929687,0.572256904869158
